filename, A, Am, B, B7, Bm, C, D, D7, Dm, E, Em, F, G
C_g1191_jpg.rf.e2a1beabe968f44885f47528b82c5b36.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
B8_Augmented_0_5298_jpeg_jpg.rf.e3c45a12d5c17b5436751007647ae55f.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Bm_g1120_jpg.rf.e2b291ed93e3b1e660af9279ee2121d3.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
C3_Augmented_0_6635_jpeg_jpg.rf.e2efab1132d3286251ce6aa7e5017a85.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
A_g2199_jpg.rf.e2c3ed0bedc4f30fd7708e25a46eee38.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
D2_Augmented_0_2555_jpeg_jpg.rf.e285d0b671cae571332e026ed7f648c8.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
B6_Augmented_0_7180_jpeg_jpg.rf.e2ab41efd844a6adedd120b1ffe7a911.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
D3_Augmented_0_3699_jpeg_jpg.rf.e3265d08df7370f6b37a8af5e3d2eea3.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
A_g2130_jpg.rf.e2fe77c0fbbecf769fa51f8f5983863e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
A7_Augmented_0_9797_jpeg_jpg.rf.e311356185cc9bffc553accb98182539.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
D5_jpg.rf.e3160f36e991cace7b1c735d99cafd50.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
C_g217_jpg.rf.e33a71ce6fc18375f546dae255128981.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
D5_Augmented_0_764_jpeg_jpg.rf.e3f81600a7d8a4a863d4138e023deac1.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
A5_Augmented_0_4707_jpeg_jpg.rf.e3333ac33e62f91405e630028bac20e3.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B7_g222_jpg.rf.e2da03345746028843769b06201d1ec9.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
F113_jpg.rf.e2b8373ce494eb67232531eb444ebfb8.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
G5_Augmented_0_7869_jpeg_jpg.rf.e3ed1f74ea5cd172bd15f8da3084d204.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
D_g216_jpg.rf.e2d4b204cd0af6ff32ff5973de3d1647.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
D_g1150_jpg.rf.e350c320558bd21b7ffe48938e184bca.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
E7_Augmented_0_5874_jpeg_jpg.rf.e3f3c4a4d7a3217b9e2236e1a8a7ab2c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Bm_g2119_jpg.rf.e34a0be58cb1d4faa27806ea6ba3f7f5.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
A5_Augmented_0_9549_jpeg_jpg.rf.e36488ea11f33fa71cf14038a29701b2.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
D7_g139_jpg.rf.e3d49b9438f08f783e85bbe77a256329.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
D5_Augmented_0_5975_jpeg_jpg.rf.e3f6eefc971b05b3c62b344a005866ff.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
A_g1164_jpg.rf.e2fcb3524293200312156c6e9f738588.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F4_Augmented_0_4782_jpeg_jpg.rf.e4522d26ea813cbd1a33b81a121c0f7c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
A_g159_jpg.rf.e453589f2e89854a7105548455606cc1.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F3_Augmented_0_9263_jpeg_jpg.rf.e4bbeda6839b188cc83d4fba2102d271.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
B3_Augmented_0_535_jpeg_jpg.rf.e4bedf6078b5c292cdfb18fd419fab4b.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
